date,open,high,low,close,volume
2018-01-02,168.228,170.3437,167.3382,170.3042,25555934
2018-01-03,170.5711,172.5682,170.0076,170.2745,29517899
2018-01-04,170.581,171.5005,170.1262,171.0654,22434597
2018-01-05,171.4708,173.3789,171.0852,173.0131,23660018
2018-01-08,172.3705,173.6162,171.9552,172.3705,20567766
2018-01-09,172.5682,173.0724,171.4411,172.3507,21583997
2018-01-10,171.194,172.321,171.0358,172.3111,23959895
2018-01-11,172.6077,173.4961,172.5089,173.2899,18667729
2018-01-12,174.1797,175.3463,173.6557,175.0794,25418080
2018-01-16,175.8802,177.3532,174.1401,174.1896,29565947
2018-01-17,174.15,177.2148,173.0823,177.0665,34386836
2018-01-18,177.3335,178.0552,176.2262,177.2247,31193352
2018-01-19,176.5821,177.5411,175.3957,176.4338,32425067
2018-01-22,175.287,175.7615,174.5965,174.9904,27108551
2018-01-23,175.287,177.4027,174.8124,175.0299,32689146
2018-01-24,175.2375,175.287,171.2335,172.2419,51105090
2018-01-25,172.5237,172.9636,168.5938,169.1672,41529004
2018-01-26,170.0471,170.0471,168.1292,169.5627,39143011
2018-01-29,168.228,168.228,165.1731,166.053,50640406
2018-01-30,163.6457,165.4697,162.83,165.0743,46048185
2018-01-31,164.9754,166.5292,164.6096,165.529,32478930
2018-02-01,165.267,166.7055,164.8666,165.8751,47230787
2018-02-02,164.1153,164.9062,158.2823,158.6777,86593825
2018-02-05,157.2936,162.0193,154.2288,154.7132,72738522
2018-02-06,153.0721,161.8611,152.2515,161.179,68243838
2018-02-07,161.2334,161.5448,157.2625,157.7286,51608580
2018-02-08,158.4701,159.172,153.2698,153.3885,54390516
2018-02-09,155.9198,156.7338,149.1399,155.2647,70672608
2018-02-12,157.3394,162.6899,156.3566,161.5185,60819539
2018-02-13,160.7641,163.5436,160.4663,163.1366,32549163
2018-02-14,161.8511,166.3132,161.6873,166.1444,40644933
2018-02-15,168.5467,171.8225,167.7625,171.7233,51147171
2018-02-16,171.0979,173.5399,170.5122,171.1674,40176091
2018-02-20,170.7902,172.984,170.1648,170.5916,33930540
2018-02-21,171.5644,172.845,169.7578,169.8173,37471623
2018-02-22,170.542,172.6762,170.4526,171.2369,30991940
2018-02-23,172.3983,174.3638,172.2692,174.2149,33812360
2018-02-26,175.0587,178.0764,174.9197,177.6595,38162174
2018-02-27,177.7885,179.1584,176.8554,177.0837,38928125
2018-02-28,177.9474,179.2924,176.7462,176.8157,37782138
2018-03-01,177.2326,178.4586,171.3957,173.7185,48801970
2018-03-02,171.5347,175.009,171.1872,174.9197,38453950
2018-03-05,173.927,176.4385,173.2421,175.5252,28401366
2018-03-06,176.6072,176.9448,174.8403,175.3763,23788506
2018-03-07,173.659,174.5623,172.9939,173.7483,31703462
2018-03-08,174.195,175.823,173.788,175.6443,23774107
2018-03-09,176.6569,178.6819,176.091,178.6621,32185162
2018-03-12,178.9698,181.0544,178.8904,180.3893,32207081
2018-03-13,181.253,182.1563,177.9275,178.6522,31693529
2018-03-14,178.9996,179.1981,176.508,177.1334,29368356
2018-03-15,177.1929,178.9202,176.7662,177.3418,22743798
2018-03-16,177.3418,177.8084,176.3194,176.7164,39404688
2018-03-19,176.0216,176.1705,172.3884,174.0164,33446771
2018-03-20,173.9568,175.5054,173.659,173.9568,19649350
2018-03-21,173.7583,173.8079,170.0059,170.0159,37054935
2018-03-22,168.7552,171.4155,167.3654,167.6136,41490767
2018-03-23,167.157,168.6757,163.7322,163.7322,41028784
2018-03-26,166.8393,171.8325,165.2212,171.5049,37541236
2018-03-27,172.4082,173.8675,165.6977,167.1073,40922579
2018-03-28,166.0253,168.775,163.9804,165.2609,41668545
2018-03-29,166.5762,170.4923,165.6779,166.5514,38398505
