Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2.260000,2.270000,2.220000,2.230000,2.230000,5577700
2018-09-11,2.250000,2.270000,2.230000,2.270000,2.270000,6389400
2018-09-12,2.270000,2.300000,2.260000,2.280000,2.280000,5463300
2018-09-13,2.300000,2.320000,2.270000,2.290000,2.290000,4857900
2018-09-14,2.300000,2.320000,2.300000,2.320000,2.320000,4559800
2018-09-17,2.320000,2.350000,2.310000,2.330000,2.330000,5037500
2018-09-18,2.330000,2.350000,2.320000,2.350000,2.350000,8491300
2018-09-19,2.350000,2.380000,2.340000,2.350000,2.350000,4362000
2018-09-20,2.360000,2.360000,2.310000,2.310000,2.310000,4321000
2018-09-21,2.330000,2.370000,2.330000,2.360000,2.360000,6124900
2018-09-24,2.360000,2.380000,2.350000,2.360000,2.360000,2780000
2018-09-25,2.360000,2.390000,2.340000,2.360000,2.360000,4457700
2018-09-26,2.380000,2.390000,2.360000,2.380000,2.380000,6407300
2018-09-27,2.390000,2.400000,2.370000,2.400000,2.400000,4134900
2018-09-28,2.410000,2.460000,2.410000,2.430000,2.430000,9847400
2018-10-01,2.430000,2.460000,2.430000,2.440000,2.440000,6027200
2018-10-02,2.440000,2.480000,2.410000,2.480000,2.480000,7380200
2018-10-03,2.480000,2.490000,2.460000,2.490000,2.490000,4641400
2018-10-04,2.470000,2.470000,2.370000,2.380000,2.380000,11126600
2018-10-05,2.380000,2.400000,2.340000,2.360000,2.360000,5090300
2018-10-08,2.350000,2.380000,2.350000,2.360000,2.360000,2434900
2018-10-09,2.350000,2.390000,2.340000,2.370000,2.370000,2269400
