Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2.740000,2.800000,2.730000,2.790000,2.790000,4320400
2018-09-11,2.780000,2.790000,2.700000,2.710000,2.710000,3863200
2018-09-12,2.720000,2.750000,2.650000,2.740000,2.740000,6569200
2018-09-13,2.750000,2.750000,2.670000,2.720000,2.720000,5284100
2018-09-14,2.730000,2.740000,2.730000,2.740000,2.740000,3057200
2018-09-17,2.730000,2.780000,2.720000,2.760000,2.760000,3753600
2018-09-18,2.770000,2.800000,2.760000,2.790000,2.790000,3969100
2018-09-19,2.790000,2.790000,2.750000,2.770000,2.770000,2772700
2018-09-20,2.770000,2.790000,2.760000,2.790000,2.790000,1585400
2018-09-21,2.800000,2.820000,2.760000,2.820000,2.820000,6556600
2018-09-24,2.820000,2.830000,2.800000,2.800000,2.800000,2353500
2018-09-25,2.810000,2.840000,2.800000,2.830000,2.830000,7911200
2018-09-26,2.850000,2.850000,2.780000,2.790000,2.790000,5161900
2018-09-27,2.790000,2.790000,2.790000,2.790000,2.790000,0
2018-09-28,2.870000,2.870000,2.810000,2.870000,2.870000,11770600
2018-10-01,2.870000,2.870000,2.840000,2.860000,2.860000,6681400
2018-10-02,2.840000,2.860000,2.810000,2.860000,2.860000,4374020
2018-10-03,2.860000,2.860000,2.840000,2.850000,2.850000,4622700
2018-10-04,2.840000,2.880000,2.840000,2.880000,2.880000,5833300
2018-10-05,2.870000,2.890000,2.850000,2.860000,2.860000,10665800
2018-10-08,2.870000,2.870000,2.840000,2.860000,2.860000,2588000
2018-10-09,2.860000,2.860000,2.800000,2.800000,2.800000,1853700
