Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2.820000,2.860000,2.820000,2.830000,2.830000,4914000
2018-09-11,2.810000,2.850000,2.790000,2.840000,2.840000,3371400
2018-09-12,2.850000,2.940000,2.850000,2.940000,2.940000,7530400
2018-09-13,2.930000,2.970000,2.900000,2.920000,2.920000,5664700
2018-09-14,2.930000,2.940000,2.870000,2.890000,2.890000,6561700
2018-09-17,2.870000,2.890000,2.840000,2.860000,2.860000,2915700
2018-09-18,2.870000,2.930000,2.830000,2.900000,2.900000,5462100
2018-09-19,2.930000,3.030000,2.920000,3.020000,3.020000,8546800
2018-09-20,3.020000,3.040000,3.000000,3.030000,3.030000,3059100
2018-09-21,3.040000,3.090000,3.040000,3.050000,3.050000,6079600
2018-09-24,3.030000,3.030000,2.990000,3.010000,3.010000,2638400
2018-09-25,3.020000,3.080000,3.010000,3.070000,3.070000,3603000
2018-09-26,3.080000,3.080000,3.000000,3.060000,3.060000,4144400
2018-09-27,3.060000,3.100000,3.040000,3.080000,3.080000,3799100
2018-09-28,3.100000,3.100000,3.050000,3.090000,3.090000,3370900
2018-10-01,3.040000,3.100000,3.040000,3.070000,3.070000,2996500
2018-10-02,3.060000,3.080000,3.040000,3.050000,3.050000,3127700
2018-10-03,3.060000,3.110000,3.050000,3.090000,3.090000,3730300
2018-10-04,3.080000,3.080000,3.020000,3.040000,3.040000,3481000
2018-10-05,3.040000,3.040000,2.940000,2.950000,2.950000,5729200
2018-10-08,2.950000,3.020000,2.920000,2.960000,2.960000,3879500
2018-10-09,2.980000,3.020000,2.960000,2.990000,2.990000,2877700
