Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,3.120000,3.130000,3.080000,3.100000,3.100000,25308900
2018-09-11,3.100000,3.120000,3.090000,3.100000,3.100000,13099500
2018-09-12,3.110000,3.120000,3.100000,3.100000,3.100000,17240300
2018-09-13,3.100000,3.120000,3.100000,3.110000,3.110000,16831700
2018-09-14,3.120000,3.170000,3.120000,3.150000,3.150000,17732500
2018-09-17,3.150000,3.150000,3.090000,3.110000,3.110000,11023700
2018-09-18,3.100000,3.120000,3.090000,3.110000,3.110000,17880800
2018-09-19,3.120000,3.180000,3.120000,3.160000,3.160000,14518300
2018-09-20,3.180000,3.180000,3.130000,3.150000,3.150000,11528500
2018-09-21,3.170000,3.180000,3.140000,3.160000,3.160000,28947400
2018-09-24,3.150000,3.170000,3.120000,3.150000,3.150000,15262700
2018-09-25,3.160000,3.200000,3.150000,3.200000,3.200000,10521600
2018-09-26,3.210000,3.240000,3.190000,3.190000,3.190000,21442000
2018-09-27,3.190000,3.250000,3.170000,3.210000,3.210000,28851400
2018-09-28,3.240000,3.240000,3.210000,3.240000,3.240000,19651300
2018-10-01,3.260000,3.270000,3.220000,3.230000,3.230000,14038800
2018-10-02,3.220000,3.250000,3.220000,3.230000,3.230000,10660100
2018-10-03,3.240000,3.250000,3.220000,3.250000,3.250000,15620100
2018-10-04,3.240000,3.260000,3.220000,3.240000,3.240000,22562100
2018-10-05,3.230000,3.240000,3.200000,3.210000,3.210000,13423600
2018-10-08,3.190000,3.210000,3.180000,3.200000,3.200000,13176100
2018-10-09,3.190000,3.210000,3.180000,3.190000,3.190000,11340500
